[dut.csv]
ID_STR_O_GENERIC_TEXT_FOLDER,"Select Folder"
ID_STR_O_GENERIC_TEXT_GENERICERROR,"Unknown error occurred"
ID_STR_O_GENERIC_TEXT_INTMEM_ACCESS_ERROR,"Internal memory error"
ID_STR_O_GENERIC_TEXT_INTMEM_MOUNT,"Accessing internal memory…\n\nPlease select again later"
ID_STR_O_GENERIC_TEXT_INTMEM_NOFORMAT_ERROR,"Internal memory formatting error"
ID_STR_O_GENERIC_TEXT_MEMORYCRISIS,"Not enough available system memory"
ID_STR_O_GENERIC_TEXT_MS_ACCESS_ERROR,"Cannot access Memory Stick"
ID_STR_O_GENERIC_TEXT_MS_DETECT_ERROR,"Reinsert the Memory Stick"
ID_STR_O_GENERIC_TEXT_MS_INSERT,"Memory Stick inserted"
ID_STR_O_GENERIC_TEXT_MS_MOUNT,"Accessing Memory Stick…\n\nPlease select again later"
ID_STR_O_GENERIC_TEXT_MS_NOFORMAT_ERROR,"Memory Stick formatted incorrectly"
ID_STR_O_GENERIC_TEXT_MS_NOSUPPORT_ERROR,"Memory Stick type error"
ID_STR_O_GENERIC_TEXT_MS_REMOVED,"Memory Stick removed"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE,"Favorites"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE01,"Favorites 1"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE02,"Favorites 2"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE03,"Favorites 3"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE04,"Favorites 4"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE05,"Favorites 5"
ID_STR_O_GENERIC_TEXT_MY_FAVORITE06,"Favorites 6"
ID_STR_O_GENERIC_TEXT_NETWORK_CONNECT_ERROR,"Cannot connect to network"
ID_STR_O_GENERIC_TEXT_NO_IMAGE,"No images"
ID_STR_O_GENERIC_TEXT_SHAREMARK,"Sharemark"
ID_STR_O_GENERIC_TEXT_SHAREMARK01,"Sharemark 1"
ID_STR_O_GENERIC_TEXT_SHAREMARK02,"Sharemark 2"
ID_STR_O_GENERIC_TEXT_SHAREMARK03,"Sharemark 3"
ID_STR_O_GENERIC_TEXT_SHAREMARK04,"Sharemark 4"
ID_STR_O_GENERIC_TEXT_SHAREMARK05,"Sharemark 5"
ID_STR_O_GENERIC_TEXT_SHAREMARK06,"Sharemark 6"
ID_STR_O_GENERIC_TEXT_TOUCH_IMAGE,"Select image"
ID_STR_O_GENERIC_TITLE_AP_SELECT,"Access pt. to connect to"
ID_STR_O_KB_MENU_ADDRESS_EDIT,"Edit"
ID_STR_O_KB_MENU_SHOWADDRESS,"Display Email Address"
ID_STR_O_KB_MENU_SHOWNICKNAME,"Display Name"
ID_STR_O_KB_TEXT_ADDRESS,"Email Address"
ID_STR_O_KB_TEXT_ADDRESSBOOK_EDIT,"Edit Address Book"
ID_STR_O_KB_TEXT_DELEATE,"Delete"
ID_STR_O_KB_TEXT_INPUT_CANCEL,"Cancel entry\n\nEntered text will not be applied"
ID_STR_O_KB_TEXT_INPUT_REQUIRED_ERROR,"No name or email address entered"
ID_STR_O_KB_TEXT_NICKNAME,"Name"
ID_STR_O_KB_TEXT_NOTOPEN_ADDRESS,"Number of characters over limit\n\nOnly the allowed number are displayed"
ID_STR_O_KB_TEXT_NO_ADDRESS,"No email addresses added"
ID_STR_O_KB_TEXT_OVER_CHARACTERS,"Number of characters over limit\n\nOnly the allowed number are displayed"
ID_STR_O_KB_TITLE_ADDRESSBOOK,"Address Book"
ID_STR_O_NT_BUTTON_BROWSER,"Upload Images/Browse the Web"
ID_STR_O_NT_BUTTON_NWSETTING,"Network Settings"
ID_STR_O_NT_BUTTON_SHAREDIMAGE,"Be Viewed"
ID_STR_O_NT_BUTTON_SLIDESHOW,"Send and View"
ID_STR_O_NT_GUIDE_BROWSER,"Upload and view images\nwith the Web browser"
ID_STR_O_NT_GUIDE_NWSETTING,"Adjust network settings"
ID_STR_O_NT_GUIDE_SHAREDIMAGE,"Control other device to view\nimages on the camera"
ID_STR_O_NT_GUIDE_SLIDESHOW,"Have the camera send images\nto other device for viewing"
ID_STR_O_NT_TEXT_AP_NOSETTING,"No Access Point set\n\nUse Network Settings to set\nthe Access Point"
ID_STR_O_NT_TITLE_NETWORKTOP,"Network"
ID_STR_O_NW_BUTTON_ACCESS_POINT,"Access Point"
ID_STR_O_NW_BUTTON_AP_PROFILE_NAME,"Connection Name"
ID_STR_O_NW_BUTTON_AUTO,"Auto"
ID_STR_O_NW_BUTTON_AUTO_DETECT,"Auto Scan"
ID_STR_O_NW_BUTTON_CITY_NAME2_00,"GMT +12.0 Wellington"
ID_STR_O_NW_BUTTON_CITY_NAME2_01,"GMT +12.0 Fiji"
ID_STR_O_NW_BUTTON_CITY_NAME2_02,"GMT +11.0 Solomon Is"
ID_STR_O_NW_BUTTON_CITY_NAME2_03,"GMT +10.0 Sydney"
ID_STR_O_NW_BUTTON_CITY_NAME2_04,"GMT +10.0 Melbourne"
ID_STR_O_NW_BUTTON_CITY_NAME2_05,"GMT +9.5 Darwin"
ID_STR_O_NW_BUTTON_CITY_NAME2_06,"GMT +9.5 Adelaide"
ID_STR_O_NW_BUTTON_CITY_NAME2_07,"GMT +9.0 Tokyo"
ID_STR_O_NW_BUTTON_CITY_NAME2_08,"GMT +9.0 Seoul"
ID_STR_O_NW_BUTTON_CITY_NAME2_09,"GMT +8.0 Singapore"
ID_STR_O_NW_BUTTON_CITY_NAME2_10,"GMT +8.0 Hong Kong"
ID_STR_O_NW_BUTTON_CITY_NAME2_11,"GMT +8.0 Beijing"
ID_STR_O_NW_BUTTON_CITY_NAME2_12,"GMT +7.0 Jakarta"
ID_STR_O_NW_BUTTON_CITY_NAME2_13,"GMT +7.0 Bangkok"
ID_STR_O_NW_BUTTON_CITY_NAME2_14,"GMT +6.5 Rangoon"
ID_STR_O_NW_BUTTON_CITY_NAME2_15,"GMT +6.0 Dhaka"
ID_STR_O_NW_BUTTON_CITY_NAME2_16,"GMT +6.0 Almaty"
ID_STR_O_NW_BUTTON_CITY_NAME2_17,"GMT +5.5 New Delhi"
ID_STR_O_NW_BUTTON_CITY_NAME2_18,"GMT +5.5 Calcutta"
ID_STR_O_NW_BUTTON_CITY_NAME2_19,"GMT +5.0 Karachi"
ID_STR_O_NW_BUTTON_CITY_NAME2_20,"GMT +5.0 Islamabad"
ID_STR_O_NW_BUTTON_CITY_NAME2_21,"GMT +4.5 Kabul"
ID_STR_O_NW_BUTTON_CITY_NAME2_22,"GMT +4.0 Baku"
ID_STR_O_NW_BUTTON_CITY_NAME2_23,"GMT +4.0 Abu Dhabi"
ID_STR_O_NW_BUTTON_CITY_NAME2_24,"GMT +3.5 Tehran"
ID_STR_O_NW_BUTTON_CITY_NAME2_25,"GMT +3.0 Nairobi"
ID_STR_O_NW_BUTTON_CITY_NAME2_26,"GMT +3.0 Moscow"
ID_STR_O_NW_BUTTON_CITY_NAME2_27,"GMT +2.0 Istanbul"
ID_STR_O_NW_BUTTON_CITY_NAME2_28,"GMT +2.0 Helsinki"
ID_STR_O_NW_BUTTON_CITY_NAME2_29,"GMT +2.0 Cairo"
ID_STR_O_NW_BUTTON_CITY_NAME2_30,"GMT +1.0 Paris"
ID_STR_O_NW_BUTTON_CITY_NAME2_31,"GMT +1.0 Berlin"
ID_STR_O_NW_BUTTON_CITY_NAME2_32,"GMT +0.0 London"
ID_STR_O_NW_BUTTON_CITY_NAME2_33,"GMT +0.0 Lisbon"
ID_STR_O_NW_BUTTON_CITY_NAME2_34,"GMT -1.0 Azores"
ID_STR_O_NW_BUTTON_CITY_NAME2_35,"GMT -1.0 Cape Verde Is."
ID_STR_O_NW_BUTTON_CITY_NAME2_36,"GMT -2.0 Fernando de Noronha"
ID_STR_O_NW_BUTTON_CITY_NAME2_37,"GMT -3.0 Brasilia"
ID_STR_O_NW_BUTTON_CITY_NAME2_38,"GMT -3.0 Buenos Aires"
ID_STR_O_NW_BUTTON_CITY_NAME2_39,"GMT -3.5 St. John's"
ID_STR_O_NW_BUTTON_CITY_NAME2_40,"GMT -4.0 Santiago"
ID_STR_O_NW_BUTTON_CITY_NAME2_41,"GMT -5.0 Bogota"
ID_STR_O_NW_BUTTON_CITY_NAME2_42,"GMT -5.0 New York"
ID_STR_O_NW_BUTTON_CITY_NAME2_43,"GMT -6.0 Chicago"
ID_STR_O_NW_BUTTON_CITY_NAME2_44,"GMT -6.0 Mexico City"
ID_STR_O_NW_BUTTON_CITY_NAME2_45,"GMT -7.0 Arizona"
ID_STR_O_NW_BUTTON_CITY_NAME2_46,"GMT -7.0 Denver"
ID_STR_O_NW_BUTTON_CITY_NAME2_47,"GMT -8.0 San Francisco"
ID_STR_O_NW_BUTTON_CITY_NAME2_48,"GMT -8.0 Tijuana"
ID_STR_O_NW_BUTTON_CITY_NAME2_49,"GMT -9.0 Alaska"
ID_STR_O_NW_BUTTON_CITY_NAME2_50,"GMT -10.0 Hawaii"
ID_STR_O_NW_BUTTON_CITY_NAME2_51,"GMT -11.0 Samoa"
ID_STR_O_NW_BUTTON_CITY_NAME2_52,"GMT -12.0 Eniwetok"
ID_STR_O_NW_BUTTON_CITY_NAME2_53,"GMT -12.0 Kwajalein"
ID_STR_O_NW_BUTTON_CITY_NAME_00,"Wellington"
ID_STR_O_NW_BUTTON_CITY_NAME_01,"Fiji"
ID_STR_O_NW_BUTTON_CITY_NAME_02,"Solomon Is"
ID_STR_O_NW_BUTTON_CITY_NAME_03,"Sydney"
ID_STR_O_NW_BUTTON_CITY_NAME_04,"Melbourne"
ID_STR_O_NW_BUTTON_CITY_NAME_05,"Darwin"
ID_STR_O_NW_BUTTON_CITY_NAME_06,"Adelaide"
ID_STR_O_NW_BUTTON_CITY_NAME_07,"Tokyo"
ID_STR_O_NW_BUTTON_CITY_NAME_08,"Seoul"
ID_STR_O_NW_BUTTON_CITY_NAME_09,"Singapore"
ID_STR_O_NW_BUTTON_CITY_NAME_10,"Hong Kong"
ID_STR_O_NW_BUTTON_CITY_NAME_11,"Beijing"
ID_STR_O_NW_BUTTON_CITY_NAME_12,"Jakarta"
ID_STR_O_NW_BUTTON_CITY_NAME_13,"Bangkok"
ID_STR_O_NW_BUTTON_CITY_NAME_14,"Rangoon"
ID_STR_O_NW_BUTTON_CITY_NAME_15,"Dhaka"
ID_STR_O_NW_BUTTON_CITY_NAME_16,"Almaty"
ID_STR_O_NW_BUTTON_CITY_NAME_17,"New Delhi"
ID_STR_O_NW_BUTTON_CITY_NAME_18,"Calcutta"
ID_STR_O_NW_BUTTON_CITY_NAME_19,"Karachi"
ID_STR_O_NW_BUTTON_CITY_NAME_20,"Islamabad"
ID_STR_O_NW_BUTTON_CITY_NAME_21,"Kabul"
ID_STR_O_NW_BUTTON_CITY_NAME_22,"Baku"
ID_STR_O_NW_BUTTON_CITY_NAME_23,"Abu Dhabi"
ID_STR_O_NW_BUTTON_CITY_NAME_24,"Tehran"
ID_STR_O_NW_BUTTON_CITY_NAME_25,"Nairobi"
ID_STR_O_NW_BUTTON_CITY_NAME_26,"Moscow"
ID_STR_O_NW_BUTTON_CITY_NAME_27,"Istanbul"
ID_STR_O_NW_BUTTON_CITY_NAME_28,"Helsinki"
ID_STR_O_NW_BUTTON_CITY_NAME_29,"Cairo"
ID_STR_O_NW_BUTTON_CITY_NAME_30,"Paris"
ID_STR_O_NW_BUTTON_CITY_NAME_31,"Berlin"
ID_STR_O_NW_BUTTON_CITY_NAME_32,"London"
ID_STR_O_NW_BUTTON_CITY_NAME_33,"Lisbon"
ID_STR_O_NW_BUTTON_CITY_NAME_34,"Azores"
ID_STR_O_NW_BUTTON_CITY_NAME_35,"Cape Verde Is."
ID_STR_O_NW_BUTTON_CITY_NAME_36,"Fernando de Noronha"
ID_STR_O_NW_BUTTON_CITY_NAME_37,"Brasilia"
ID_STR_O_NW_BUTTON_CITY_NAME_38,"Buenos Aires"
ID_STR_O_NW_BUTTON_CITY_NAME_39,"St. John's"
ID_STR_O_NW_BUTTON_CITY_NAME_40,"Santiago"
ID_STR_O_NW_BUTTON_CITY_NAME_41,"Bogota"
ID_STR_O_NW_BUTTON_CITY_NAME_42,"New York"
ID_STR_O_NW_BUTTON_CITY_NAME_43,"Chicago"
ID_STR_O_NW_BUTTON_CITY_NAME_44,"Mexico City"
ID_STR_O_NW_BUTTON_CITY_NAME_45,"Arizona"
ID_STR_O_NW_BUTTON_CITY_NAME_46,"Denver"
ID_STR_O_NW_BUTTON_CITY_NAME_47,"San Francisco"
ID_STR_O_NW_BUTTON_CITY_NAME_48,"Tijuana"
ID_STR_O_NW_BUTTON_CITY_NAME_49,"Alaska"
ID_STR_O_NW_BUTTON_CITY_NAME_50,"Hawaii"
ID_STR_O_NW_BUTTON_CITY_NAME_51,"Samoa"
ID_STR_O_NW_BUTTON_CITY_NAME_52,"Eniwetok"
ID_STR_O_NW_BUTTON_CITY_NAME_53,"Kwajalein"
ID_STR_O_NW_BUTTON_CUSTOM_SETTING,"Custom"
ID_STR_O_NW_BUTTON_DONOT_SAVE_AND_EXIT,"Exit without Saving"
ID_STR_O_NW_BUTTON_EASY_SETTING,"Easy"
ID_STR_O_NW_BUTTON_GATEWAY,"Gateway"
ID_STR_O_NW_BUTTON_HTTPS_PORT,"HTTPS Port"
ID_STR_O_NW_BUTTON_HTTP_PORT,"HTTP Port"
ID_STR_O_NW_BUTTON_ID,"ID"
ID_STR_O_NW_BUTTON_IPADDRESS,"IP Address"
ID_STR_O_NW_BUTTON_MANUAL,"Manual"
ID_STR_O_NW_BUTTON_MANUAL_SETTING,"Set Manually"
ID_STR_O_NW_BUTTON_NETWORK_INITIALIZATION,"Initialize"
ID_STR_O_NW_BUTTON_NICKNAME,"Nickname"
ID_STR_O_NW_BUTTON_NOT_USE,"Disable"
ID_STR_O_NW_BUTTON_NW_POWERSAVING,"Network Power Save"
ID_STR_O_NW_BUTTON_PASSWORD,"Password"
ID_STR_O_NW_BUTTON_PPPOE,"PPPoE"
ID_STR_O_NW_BUTTON_PRIMARY_DNS,"Primary DNS"
ID_STR_O_NW_BUTTON_PROXY_SERVER,"Proxy Server"
ID_STR_O_NW_BUTTON_SAVE_AND_EXIT,"Save"
ID_STR_O_NW_BUTTON_SECONDARY_DNS,"Secondary DNS"
ID_STR_O_NW_BUTTON_SECURITY_KEY,"Encryption Key"
ID_STR_O_NW_BUTTON_SSID,"SSID"
ID_STR_O_NW_BUTTON_SUBNETMASK,"Subnet Mask"
ID_STR_O_NW_BUTTON_TIMEZONE,"Time Zone"
ID_STR_O_NW_BUTTON_WEP,"WEP"
ID_STR_O_NW_BUTTON_WPA2_PSK_AES,"WPA2-PSK(AES)"
ID_STR_O_NW_BUTTON_WPA_PSK_AES,"WPA-PSK(AES)"
ID_STR_O_NW_BUTTON_WPA_PSK_TKIP,"WPA-PSK(TKIP)"
ID_STR_O_NW_GUIDE_AP_DELEATE,"Delete Access Point"
ID_STR_O_NW_GUIDE_BUTTON_OK,"OK"
ID_STR_O_NW_GUIDE_DETAILE_INFORMATION,"Select Access Point and display info."
ID_STR_O_NW_GUIDE_NETWORK_INITIALIZATION,"Restore network settings at time of purchase"
ID_STR_O_NW_GUIDE_NICKNAME,"Set nickname for this camera"
ID_STR_O_NW_GUIDE_NW_NEWCREATE,"Create/Edit Access Point"
ID_STR_O_NW_GUIDE_NW_POWERSAVING,"Save power in network connections"
ID_STR_O_NW_GUIDE_TIMEZONE,"Set the time zone for web browsing"
ID_STR_O_NW_SUBMENU_AP_DELEATE01,"Delete"
ID_STR_O_NW_SUBMENU_AP_DELEATE02,"This Access Point"
ID_STR_O_NW_SUBMENU_DETAILE_INFORMATION01,"Details"
ID_STR_O_NW_SUBMENU_DETAILE_INFORMATION02,"Details"
ID_STR_O_NW_TEXT_AP_NOT_FOUND,"Access Point not found"
ID_STR_O_NW_TEXT_AP_PROFILE_NAME,"Connection Name"
ID_STR_O_NW_TEXT_AP_PROFILE_NAME_ERROR,"Enter a connection name"
ID_STR_O_NW_TEXT_AP_SELECT,"Select an Access Point"
ID_STR_O_NW_TEXT_AP_SERARCHING,"Searching…"
ID_STR_O_NW_TEXT_AUTO_OPERATION,"Auto"
ID_STR_O_NW_TEXT_CONNECTION_TEST,"Test Connection"
ID_STR_O_NW_TEXT_CONNECT_FAILURE,"Cannot connect"
ID_STR_O_NW_TEXT_DELEATE,"Delete"
ID_STR_O_NW_TEXT_GATEWAY,"Gateway"
ID_STR_O_NW_TEXT_HTTP_PORT_ERROR,"Enter a valid port number"
ID_STR_O_NW_TEXT_ID_STR_O_NOCREATE_AP_PROFILE,"Max. access points created"
ID_STR_O_NW_TEXT_ID_STR_O_NOCREATE_NEWTAB,"Cannot open additional tab\n\nDisplay open tabs"
ID_STR_O_NW_TEXT_INIT_MESSAGE,"Initialization complete"
ID_STR_O_NW_TEXT_IPADDRESS,"IP Address"
ID_STR_O_NW_TEXT_IPADDRESS_ERROR,"Enter a valid IP address"
ID_STR_O_NW_TEXT_NICKNAME_ERROR,"Enter a nickname"
ID_STR_O_NW_TEXT_NO_AP_SETTING,"No configured access point"
ID_STR_O_NW_TEXT_PPPOE,"PPPoE"
ID_STR_O_NW_TEXT_PRIMARY_DNS,"Primary DNS"
ID_STR_O_NW_TEXT_PROXY_SETTING,"Proxy"
ID_STR_O_NW_TEXT_SECONDARY_DNS,"Secondary DNS"
ID_STR_O_NW_TEXT_SECURITY_KEY,"Encryption Key"
ID_STR_O_NW_TEXT_SECURITY_KEY_ERROR,"Enter an encryption key\n5 to 26 characters in length"
ID_STR_O_NW_TEXT_SECURITY_KEY_LENGTH_ERROR,"Enter an encryption key\n8 to 64 characters in length"
ID_STR_O_NW_TEXT_SECURITY_MODE,"Encryption Type"
ID_STR_O_NW_TEXT_SSID,"SSID"
ID_STR_O_NW_TEXT_SSID_ERROR,"Enter an SSID"
ID_STR_O_NW_TEXT_SUBNETMASK,"Subnet Mask"
ID_STR_O_NW_TEXT_TEST_CONNECTING,"Testing connection…"
ID_STR_O_NW_TEXT_TIMEZONE_ERROR,"No time zone set\n\nUse Network Settings to set\nthe time zone"
ID_STR_O_NW_TEXT_USE_PROXY_HTTP11,"Use HTTP1.1 for proxy connection"
ID_STR_O_NW_TITLE_ACCESS_POINT,"Access Point"
ID_STR_O_NW_TITLE_ADDRESS,"Detailed Network Setting Selection"
ID_STR_O_NW_TITLE_ADVANCE,"IP Address Settings"
ID_STR_O_NW_TITLE_AP_DELEATE,"Delete"
ID_STR_O_NW_TITLE_AP_PROFILE_NAME,"Access Point Name"
ID_STR_O_NW_TITLE_CHOICE_ACCESS_POINT_SSID,"Setting Method of Access Point"
ID_STR_O_NW_TITLE_CHOICE_DNS_SETTING,"Setting Method Selection of DNS"
ID_STR_O_NW_TITLE_CHOICE_PROXY_SETTING,"Usage Selection of Proxy Server"
ID_STR_O_NW_TITLE_CONNECTION_TEST,"Test Connection"
ID_STR_O_NW_TITLE_DETAILE_INFORMATION,"Details"
ID_STR_O_NW_TITLE_DNS,"DNS"
ID_STR_O_NW_TITLE_DNS_SETTING,"DNS Settings"
ID_STR_O_NW_TITLE_IPADDRESS,"Setting Method Selection of IP Address"
ID_STR_O_NW_TITLE_LIST_ACCESS_POINT_SETTING,"Access Point Settings List"
ID_STR_O_NW_TITLE_LIST_ACCESS_POINT_SSID,"Access Point Selection"
ID_STR_O_NW_TITLE_NWSETTINGTOP,"Network Settings"
ID_STR_O_NW_TITLE_NWSETTING_RESET,"Initialize"
ID_STR_O_NW_TITLE_NW_POWERSAVING,"Network Power Save"
ID_STR_O_NW_TITLE_PPPOE,"PPPoE Settings"
ID_STR_O_NW_TITLE_PROXY,"Proxy"
ID_STR_O_NW_TITLE_PROXY_SETTING,"Proxy Server Settings"
ID_STR_O_NW_TITLE_SAVE_ACCESS_POINT_SETTING,"Access Point Settings"
ID_STR_O_NW_TITLE_SECURITY_KEY,"Encryption Key Settings"
ID_STR_O_NW_TITLE_SECURITY_MODE,"Encryption Method Selection of WLAN"
ID_STR_O_NW_TITLE_SSID,"SSID Name"
ID_STR_O_NW_TITLE_TIMEZONE,"Time Zone"
ID_STR_O_NW_TITLE_USED_ACCESS_POINT,"Access Point Selection"
ID_STR_O_SI_BUTTON_ALBUM_ALL,"All In This Event"
ID_STR_O_SI_BUTTON_FOLDER_ALL,"All In This Folder"
ID_STR_O_SI_BUTTON_MY_FAVORITE_ALL,"All In Favorites"
ID_STR_O_SI_BUTTON_SELECT_IMAGE,"Multiple Images"
ID_STR_O_SI_BUTTON_SHAREMARK_ALL,"All In Sharemark"
ID_STR_O_SI_GUIDE_EXIT_SHAREDIMAGE,"Exit DLNA"
ID_STR_O_SI_GUIDE_SELECTED_IMAGE_ALL_CANCEL,"Unselect all selected images"
ID_STR_O_SI_SUBMENU_EXIT_SHAREDIMAGE01,"Exit"
ID_STR_O_SI_SUBMENU_EXIT_SHAREDIMAGE02,"Exit"
ID_STR_O_SI_SUBMENU_SELECTED_IMAGE_CANCEL_01,"Remove"
ID_STR_O_SI_SUBMENU_SELECTED_IMAGE_CANCEL_02,"All"
ID_STR_O_SI_TEXT_EXIT_AND_RETURN_TO_HOME,"Exit DLNA and return HOME"
ID_STR_O_SI_TEXT_EXIT_SHAREDIMAGE,"Exit sharing images"
ID_STR_O_SI_TEXT_NOT_USE_MOVIE_FILE,"Operation not available with movie files"
ID_STR_O_SI_TEXT_NOT_USE_PPPOE,"Cannot use PPPoE with image sharing"
ID_STR_O_SI_TEXT_NO_IMAGE,"No images"
ID_STR_O_SI_TEXT_OVER_SELECTABLE_IMAGE,"Maximum images exceeded"
ID_STR_O_SI_TEXT_PUBLIC_ALL_ALBUM,"Sharing all in event"
ID_STR_O_SI_TEXT_PUBLIC_ALL_ALLSHAREMARK,"Sharing All In Sharemark"
ID_STR_O_SI_TEXT_PUBLIC_ALL_FOLDER,"Sharing all in folder"
ID_STR_O_SI_TEXT_PUBLIC_ALL_MY_FAVORITE,"Sharing all in Favorites"
ID_STR_O_SI_TEXT_SELECTED_IMAGE_ALL_CANCEL,"Unselect all selected images"
ID_STR_O_SI_TEXT_SELECTED_IMAGE_CANCEL,"Unselect selected images"
ID_STR_O_SI_TEXT_SELECT_PUBLIC_MEDIA,"Select sharing method"
ID_STR_O_SI_TEXT_TOUCH_SHARE_IMAGE,"Select images to share"
ID_STR_O_SI_TITLE_SHAREDIMAGETOP,"Be Viewed"
ID_STR_O_SS_BUTTON_10SEC,"Normal"
ID_STR_O_SS_BUTTON_30SEC,"Slow"
ID_STR_O_SS_BUTTON_5SEC,"Fast"
ID_STR_O_SS_BUTTON_CONNECTION_TEST,"Test Connect."
ID_STR_O_SS_BUTTON_LAST_CONNECTION,"Last Connected Device"
ID_STR_O_SS_BUTTON_PLAY_IMAGE,"Playback Image"
ID_STR_O_SS_BUTTON_PLAY_TIME,"Interval Settings"
ID_STR_O_SS_BUTTON_REPEAT,"Repeat"
ID_STR_O_SS_BUTTON_RESEARCH,"Scan Again"
ID_STR_O_SS_BUTTON_SELECT_ALBUM,"Event"
ID_STR_O_SS_BUTTON_SELECT_ALL,"All"
ID_STR_O_SS_BUTTON_SELECT_FOLDER,"Folder"
ID_STR_O_SS_BUTTON_SELECT_MY_FAVORITE,"Favorites"
ID_STR_O_SS_BUTTON_SELECT_SHAREMARK,"Sharemark"
ID_STR_O_SS_GUIDE_DETAILE_INFORMATION,"Display details for selected device"
ID_STR_O_SS_GUIDE_EXIT_SLIDESHOW,"Exit sending images"
ID_STR_O_SS_GUIDE_SLIDESHOW_PLAY,"Send images to connected device"
ID_STR_O_SS_SUBMENU_DETAILE_INFORMATION0,"Details"
ID_STR_O_SS_SUBMENU_EXIT_SLIDESHOW01,"Exit"
ID_STR_O_SS_SUBMENU_EXIT_SLIDESHOW02,"Exit"
ID_STR_O_SS_SUBMENU_SLIDESHOW_PLAY01,"Slideshow"
ID_STR_O_SS_SUBMENU_SLIDESHOW_PLAY02,"Slideshow"
ID_STR_O_SS_TEXT_CONNECT_FAILURE,"Cannot connect"
ID_STR_O_SS_TEXT_DENY_FROM_RENDERER,"Selected device settings incompatible"
ID_STR_O_SS_TEXT_DETAILE_INFORMATION,"Details"
ID_STR_O_SS_TEXT_DETAILE_INFORMATION_SELECT,"Select a device you want to display"
ID_STR_O_SS_TEXT_DISCONNECT_FROM_RENDERER,"Disconnected"
ID_STR_O_SS_TEXT_EXIT_AND_RETURN_TO_HOME,"Exit DLNA and return HOME"
ID_STR_O_SS_TEXT_EXIT_SLIDESHOW,"Exit DLNA"
ID_STR_O_SS_TEXT_ID_STR_O_SS_TEXT_SHOWING_TO_RENDERER,"Displaying on connected device…"
ID_STR_O_SS_TEXT_IMAGE_SENDING,"Sending…"
ID_STR_O_SS_TEXT_IPADDRESS,"IP Address"
ID_STR_O_SS_TEXT_LAST_CONNECTION_NOT_FOUND,"Previously connected device not found"
ID_STR_O_SS_TEXT_LAST_CONNECTION_SERARCHING,"Searching…"
ID_STR_O_SS_TEXT_MACADDRESS,"MAC Address"
ID_STR_O_SS_TEXT_NICKNAME,"Nickname"
ID_STR_O_SS_TEXT_NOTREADY_RENDERER,"Selected device not ready for display"
ID_STR_O_SS_TEXT_NOT_USE_MOVIE_FILE,"Operation not available with movie files"
ID_STR_O_SS_TEXT_NOT_USE_PPPOE,"Cannot use PPPoE with other device"
ID_STR_O_SS_TEXT_NO_IMAGE,"No images"
ID_STR_O_SS_TEXT_NO_LAST_CONNECTION_INFORMATION,"No last connected device information"
ID_STR_O_SS_TEXT_RENDERER_CONNECTION_TIMEOUT,"Connection to server timed out"
ID_STR_O_SS_TEXT_RENDERER_NOSUPPORT_SLIDESHOW,"Slideshow not supported"
ID_STR_O_SS_TEXT_RENDERER_NOT_FOUND,"Connectable device not found"
ID_STR_O_SS_TEXT_RENDERER_SERARCH,"Search ext. devices"
ID_STR_O_SS_TEXT_RENDERER_SERARCHING,"Searching for device…"
ID_STR_O_SS_TEXT_RESPONSE_INCORRECT,"Invalid response"
ID_STR_O_SS_TEXT_SEND_IMAGE_SELECT,"Select images to be sent"
ID_STR_O_SS_TEXT_SEND_TEST_IMAGE,"Send test image"
ID_STR_O_SS_TEXT_SOCKET_ERROR,"Error occurred while sending data"
ID_STR_O_SS_TEXT_TEST_IMAGE_SENDING,"Sending test image…"
ID_STR_O_SS_TEXT_TOUCH_FIRST_IMAGE,"Select slideshow start image"
ID_STR_O_SS_TITLE_CONNECTION_TEST,"Test Connection"
ID_STR_O_SS_TITLE_DETAILE_INFORMATION,"Details"
ID_STR_O_SS_TITLE_PLAY_IMAGE,"Playback Image"
ID_STR_O_SS_TITLE_PLAY_TIME,"Interval Settings"
ID_STR_O_SS_TITLE_REPEAT,"Repeat"
ID_STR_O_SS_TITLE_SLIDESHOWTOP,"Send and View"
ID_STR_O_SS_TITLE_SLIDESHOW_PLAY,"Slideshow"
ID_STR_PBMENU_FOLDERALL_ENTRY,"Add All in This Folder"
[fre.csv]
ID_STR_O_BR_BUTTON_BROWSER_INFORMATION,"Infos sur navigateur Web"
ID_STR_O_BR_BUTTON_CACERT,"Certificat CA"
ID_STR_O_BR_BUTTON_CACHE,"Cache"
ID_STR_O_BR_BUTTON_CACHE_ALL_DELETE,"Supprimer tous les caches"
ID_STR_O_BR_BUTTON_CHARSET,"Codage de caractères"
ID_STR_O_BR_BUTTON_CHARSET_BIG5,"Chinois tradition. (Big5)"
ID_STR_O_BR_BUTTON_CHARSET_EUC_JP,"Japonais(EUC-JP)"
ID_STR_O_BR_BUTTON_CHARSET_EUC_KR,"Coréen(EUC-KR)"
ID_STR_O_BR_BUTTON_CHARSET_GB18030,"Chinois simpl(GB18030)"
